Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,HeatingQC,CentralAir,Electrical,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,GarageCond,PavedDrive,Fence,SaleType,SaleCondition,SalePrice,group,lotarea_new,grlivarea_new,_1stflrsf_new,age_built,age_remode,y
317,60,RL,Pave,OT,IR,Low,Other,NWAmes,Norm,Type1,Type2,7,7,Other,type3,type3,Gd,CBlock,Gd,TA,No,692,TA,Y,type1,1,2,4,1,Ex,10,1,TA,Attchd,2,TA,TA,Y,GdPrv,old,Normal,260000,train,9.473089178,7.763446389,7.05012252,31,31,12.46843691
318,60,FV,Pave,OT,Reg,Low,Other,Somerst,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,0,Ex,Y,type1,0,2,3,1,Gd,8,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,270000,train,9.104979856,7.580189418,6.992096427,5,5,12.50617724
319,60,RL,Pave,OT,Reg,Low,Other,NoRidge,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Gd,987,Ex,Y,type1,1,2,4,1,Gd,9,1,TA,Attchd,3,TA,TA,Y,OT,old,Normal,260000,train,9.200290036,7.880804345,7.224024808,18,18,12.46843691
320,80,RL,Pave,OT,Reg,Low,Other,NWAmes,Norm,Type1,Type2,7,5,Other,type3,type3,TA,CBlock,Gd,TA,Mn,1036,TA,Y,type1,1,2,3,1,TA,6,2,TA,Attchd,2,TA,TA,Y,OT,old,Normal,187500,train,9.554993341,7.294377299,7.294377299,31,31,12.14153412
321,60,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Other,type3,type3,TA,PConc,Ex,Gd,Mn,0,Ex,Y,type1,0,3,4,1,Gd,9,0,OT,Attchd,3,TA,TA,Y,OT,New,Partial,342643,train,9.696401881,7.861727078,7.13009851,5,5,12.74444437
322,60,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,970,Ex,Y,type1,1,2,4,1,Gd,10,1,Gd,BuiltIn,3,TA,TA,Y,OT,old,Normal,354000,train,9.400878084,7.811163385,7.035268599,7,7,12.77705219
323,60,RL,Pave,OT,IR,Low,Other,SawyerW,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,CBlock,TA,TA,Gd,28,Ex,Y,type1,1,2,4,1,Gd,8,1,TA,Attchd,2,TA,TA,Y,MnPrv,old,Normal,301000,train,9.247636157,7.912056888,7.347943823,25,24,12.61486554
324,20,RM,Pave,OT,Reg,Low,Other,OldTown,Norm,Type1,Type2,3,8,Other,type3,type3,TA,CBlock,TA,TA,No,256,Ex,Y,type1,1,1,3,1,TA,6,0,OT,Attchd,1,Fa,TA,Y,OT,old,Normal,126175,train,8.669055541,7.058758153,7.058758153,56,6,11.74542511
325,80,RL,Pave,OT,Reg,Low,Other,NAmes,Pos,Type1,Type2,7,7,Other,type2,type2,Gd,CBlock,Gd,TA,No,0,Ex,Y,type1,0,2,5,1,Gd,11,1,Gd,BuiltIn,2,TA,TA,Y,OT,old,Normal,242000,train,9.330343164,7.999007213,7.548555979,44,4,12.39669301
326,45,RM,Pave,OT,Reg,Low,Other,IDOTRR,Norm,Type1,Type1,5,6,Other,type2,type2,TA,CBlock,TA,TA,Mn,116,Fa,N,type2,0,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,OT,old,Normal,87000,train,8.517193191,6.688354714,6.688354714,70,61,11.3736634
327,120,RL,Pave,OT,IR,Low,CulD,Veenker,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,Gd,1619,Ex,Y,type1,2,1,1,1,Gd,6,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,324000,train,9.291551627,7.449498005,7.449498005,18,18,12.6884988
328,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,6,5,Hip,type2,type2,TA,CBlock,TA,TA,No,565,TA,Y,type1,0,1,3,1,TA,7,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,145250,train,9.358760377,7.232010332,7.232010332,51,51,11.88621168
329,75,RL,Pave,Pa,IR,Bnk,Other,BrkSide,Pos,Type1,Type1,6,6,Other,type2,type2,TA,type1,TA,TA,No,0,Gd,N,type2,0,2,5,1,Gd,10,0,OT,type1,2,TA,TA,Y,OT,old,Normal,214500,train,9.383284767,7.665753432,7.275864601,95,17,12.27606502
330,70,RM,Pave,OT,Reg,Low,Other,IDOTRR,Norm,Type1,Type2,5,5,Other,type2,type2,TA,PConc,TA,TA,Mn,0,TA,N,type1,0,1,3,1,TA,6,0,OT,type1,1,Fa,Fa,N,GdWo,old,Normal,78000,train,8.764365721,7.083387848,6.390240667,91,61,11.26446411
331,90,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type2,Type2,5,4,Other,type3,type3,TA,CBlock,TA,TA,No,40,TA,Y,type1,0,2,6,2,TA,10,0,OT,type1,1,TA,TA,Y,OT,old,Normal,119000,train,9.270870872,7.454719949,7.454719949,47,47,11.68687877
332,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Other,type2,type2,TA,CBlock,TA,TA,No,846,Fa,Y,type1,1,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,139000,train,9.008958312,6.962243464,6.962243464,53,19,11.84222921
333,20,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,1124,Ex,Y,type1,1,2,3,1,Gd,7,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,284000,train,9.273784545,7.395721609,7.395721609,8,7,12.55672952
334,120,RM,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,720,Ex,Y,type1,1,2,2,1,Gd,6,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,207000,train,9.011645501,7.213768308,7.213768308,7,7,12.24047407
335,60,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Gd,TA,Gd,828,Gd,Y,type1,1,2,3,1,TA,7,2,TA,Attchd,2,TA,TA,Y,OT,old,Normal,192000,train,9.109635668,7.401231264,6.849066283,13,13,12.16525065
336,190,RL,Grvl,OT,IR,Low,Other,Timber,Norm,Type2,Type1,5,6,Other,type3,type3,TA,CBlock,TA,TA,Gd,1249,Ex,Y,type1,2,2,3,1,TA,7,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,228950,train,12.01163802,7.487733761,7.389563954,46,46,12.34125892
337,20,RL,Pave,OT,IR,Low,Other,StoneBr,Norm,Type1,Type2,9,5,Hip,type3,type3,Gd,PConc,Ex,TA,Gd,1249,Ex,Y,type1,1,2,3,1,Gd,8,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,377426,train,9.55796448,7.56112159,7.56112159,6,5,12.8411298
338,20,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,810,Ex,Y,type1,1,2,3,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,214000,train,9.119868469,7.336936914,7.336936914,9,8,12.27373129
339,20,RL,Pave,OT,Reg,Low,Other,NWAmes,Norm,Type1,Type2,7,7,Other,type2,type2,Gd,CBlock,Gd,TA,Mn,213,Ex,Y,type1,1,2,3,1,Gd,8,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,202500,train,9.557116484,7.390798522,7.390798522,27,13,12.21849517
340,20,RL,Pave,OT,IR,Low,Other,NAmes,Artery,Type1,Type2,6,7,Hip,type2,type2,TA,CBlock,TA,Fa,No,585,TA,Y,type2,0,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,155000,train,9.425451752,7.102499356,7.102499356,53,13,11.9511804
341,60,RL,Pave,OT,Reg,Low,Other,Timber,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,4,1,Gd,9,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,202900,train,9.56036324,7.553810852,6.900730664,9,9,12.22046853
342,20,RM,Pave,OT,Reg,Low,Other,SawyerW,Artery,Type1,Type2,4,4,Other,type2,type1,Fa,CBlock,TA,Fa,No,0,Gd,Y,type1,0,1,2,1,TA,4,0,OT,type1,1,TA,TA,N,OT,old,Normal,82000,train,9.035986985,6.73459166,6.73459166,61,61,11.31447453
343,90,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type2,Type2,3,4,Other,type2,type2,TA,Slab,OT,Fa,OT,0,Fa,N,type2,0,2,2,2,TA,6,0,OT,type1,2,TA,TA,Y,OT,old,Normal,87500,train,9.052984561,6.946975992,6.946975992,62,61,11.37939407
344,120,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type2,type2,Ex,PConc,Ex,TA,No,28,Ex,Y,type1,0,2,2,1,Ex,6,1,Ex,Attchd,2,TA,TA,Y,OT,old,Normal,266000,train,9.088059737,7.428927195,7.428927195,6,6,12.49125159
345,160,RM,Pave,OT,Reg,Low,Other,MeadowV,Norm,Type1,Type2,5,3,Other,type3,type3,TA,CBlock,Gd,TA,No,129,TA,Y,type1,0,1,3,1,TA,4,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,85000,train,7.860185058,7.013915475,6.284134161,35,35,11.35040654
346,50,RL,Pave,OT,Reg,Low,Other,BrkSide,Norm,Type1,Type1,6,5,Other,type2,type2,TA,type1,TA,TA,No,0,Gd,Y,type1,0,1,3,1,Fa,6,1,Gd,type1,1,TA,TA,Y,OT,old,Normal,140200,train,8.76950712,7.363279587,6.879355805,72,61,11.85082525
347,20,RL,Pave,OT,IR,Low,CulD,NAmes,Norm,Type1,Type2,6,8,Hip,type2,type2,TA,CBlock,TA,TA,Mn,498,TA,Y,type1,0,1,2,1,TA,5,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,151500,train,9.455010554,6.864847778,6.864847778,51,13,11.9283409
348,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,6,5,Other,type2,type2,TA,CBlock,TA,TA,No,1270,Ex,Y,type2,1,2,3,1,TA,6,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,157500,train,9.775654181,7.298445102,7.298445102,51,51,11.96718074
349,160,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type2,Type2,7,5,Other,type3,type2,Gd,PConc,Gd,TA,No,573,Ex,Y,type1,1,2,2,1,Gd,6,0,OT,BuiltIn,2,TA,TA,Y,OT,old,Normal,154000,train,7.803026644,7.39387829,6.638567789,8,7,11.94470788
350,60,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type3,type3,Ex,PConc,Ex,TA,No,1410,Ex,Y,type1,1,2,4,1,Ex,10,2,Ex,Attchd,3,TA,TA,Y,OT,New,Partial,437154,train,9.924808634,7.911324019,7.521859252,6,5,12.98804082
351,120,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type2,type2,Ex,PConc,Ex,TA,No,0,Ex,Y,type1,0,2,2,1,Ex,6,1,Gd,Attchd,2,TA,TA,Y,OT,New,Partial,318061,train,8.964439834,7.533158808,7.533158808,4,4,12.66999847
352,120,RL,Pave,OT,IR,Low,Other,ClearCr,Norm,Type1,Type2,7,5,Other,type2,type2,TA,PConc,Gd,TA,Gd,1082,Gd,Y,type1,1,1,2,1,Gd,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Family,190000,train,8.569975377,7.281385664,7.281385664,25,25,12.15477935
353,50,RL,Pave,OT,Reg,Low,Other,Edwards,Artery,Type1,Type1,5,6,Other,type3,type3,TA,CBlock,TA,Fa,Mn,236,TA,N,type1,0,1,3,1,TA,5,0,OT,type1,1,TA,Fa,Y,OT,old,Normal,95000,train,9.114269903,7.01301579,6.423246964,70,61,11.46163217
354,30,RM,Pave,OT,Reg,Low,Other,OldTown,Norm,Type1,Type2,6,8,Other,type3,type3,TA,type1,TA,TA,No,0,Gd,Y,type1,0,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,OT,old,Normal,105900,train,9.05017162,6.579251212,6.579251212,83,8,11.57025053
355,50,RL,Pave,OT,Reg,Bnk,Other,SWISU,Norm,Type1,Type1,6,5,Other,type2,type2,TA,CBlock,TA,TA,No,388,Ex,Y,type1,0,1,2,1,TA,6,2,Gd,Attchd,1,TA,TA,Y,OT,old,Normal,140000,train,9.035986985,7.374629015,7.083387848,71,11,11.8493977
356,20,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,6,5,Other,type3,type3,Gd,PConc,Gd,Gd,No,334,Ex,Y,type1,1,2,3,1,Gd,6,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,177500,train,9.328034515,7.090076836,7.090076836,16,16,12.08672589
357,20,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,6,6,Other,type3,type3,TA,PConc,Gd,TA,No,560,Gd,Y,type1,1,2,3,1,Gd,6,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,173000,train,9.132162591,7.062191632,7.062191632,19,19,12.06104687
358,120,RM,Pave,OT,Reg,Low,Other,MeadowV,Norm,Type1,Type2,5,5,Other,type3,type3,TA,PConc,Gd,TA,No,874,TA,Y,type1,1,1,3,1,TA,6,1,Po,Attchd,2,TA,TA,Y,MnPrv,old,Normal,134000,train,8.348537825,7.04053639,7.04053639,35,35,11.80559508
359,80,RL,Pave,OT,IR,Low,Other,ClearCr,Norm,Type1,Type2,5,4,Hip,type2,type3,TA,CBlock,TA,TA,Mn,300,Ex,Y,type2,0,1,3,1,Gd,6,0,OT,BuiltIn,1,TA,TA,Y,OT,old,Family,130000,train,8.843615092,7.209340257,7.209340257,53,53,11.77528973
360,60,RL,Pave,OT,IR,Low,CulD,NoRidge,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,956,Ex,Y,type1,1,2,3,1,Gd,7,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,280000,train,9.393578176,7.562161631,6.990256501,13,13,12.54254488
361,85,RL,Pave,OT,IR,Low,CulD,Mitchel,Norm,Type1,Type1,6,6,Other,type3,type3,TA,CBlock,Gd,TA,Mn,773,Ex,Y,type1,1,1,2,1,TA,5,1,TA,Attchd,2,TA,TA,Y,MnPrv,old,Normal,156000,train,8.927977461,6.81563999,6.81563999,33,33,11.95761129
362,50,RL,Pave,Pa,Reg,Low,Other,BrkSide,Norm,Type1,Type1,5,5,Other,type2,type2,TA,CBlock,TA,TA,No,399,Gd,Y,type1,1,1,3,1,TA,8,0,OT,type1,1,TA,TA,N,OT,old,Normal,145000,train,9.120853206,7.316548177,6.895682698,71,29,11.88448902
363,85,RL,Pave,OT,Reg,Low,Other,Edwards,Norm,Type1,Type1,7,5,Other,type3,type3,Gd,Slab,OT,Fa,OT,0,Ex,Y,type1,0,3,4,1,Gd,7,1,Ex,BuiltIn,2,TA,TA,Y,OT,old,Normal,198500,train,8.895766604,7.56112159,6.204557763,8,8,12.19854438
364,160,RM,Pave,OT,Reg,Low,Other,BrDale,Norm,Type2,Type2,6,8,Other,type3,type3,TA,CBlock,TA,TA,No,162,Gd,Y,type1,0,1,2,1,Gd,5,0,OT,type1,1,TA,TA,Y,OT,old,Normal,118000,train,7.426549072,6.894670039,6.180016654,39,4,11.6784399
365,60,RL,Pave,OT,IR,Low,Other,NWAmes,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Gd,TA,Mn,712,TA,Y,type1,1,2,3,1,TA,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,190000,train,9.841612149,7.361375429,6.672032946,35,35,12.15477935
366,70,RM,Pave,OT,Reg,Low,Other,IDOTRR,Norm,Type1,Type2,5,7,Hip,type3,type3,TA,CBlock,TA,Fa,No,456,Gd,Y,type2,0,1,3,1,TA,6,0,OT,type1,1,TA,Fa,Y,OT,old,Normal,147000,train,9.277064004,7.203405521,6.510258341,91,14,11.89818787
367,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,6,5,Other,type3,type3,TA,CBlock,Gd,TA,No,609,Gd,Y,type1,1,1,3,1,TA,6,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,159000,train,9.159047078,7.239932591,7.239932591,48,48,11.97665948
368,80,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,6,5,Other,type3,type3,TA,CBlock,Gd,TA,Gd,371,Gd,Y,type1,0,1,3,1,TA,6,1,Gd,type1,1,TA,TA,Y,OT,old,Normal,165000,train,9.121509158,7.26612878,7.26612878,49,49,12.01370075
369,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Other,type3,type3,TA,PConc,TA,TA,No,540,Gd,Y,type1,0,1,2,1,TA,7,1,Gd,Attchd,1,TA,TA,Y,OT,old,Normal,132000,train,8.961879013,7.145196135,7.145196135,57,57,11.7905572
370,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,5,7,Other,type2,type2,TA,CBlock,TA,TA,No,72,Ex,Y,type1,1,1,3,1,Gd,7,1,Gd,type1,2,TA,TA,Y,OT,old,Normal,162000,train,9.193194213,7.160069208,7.160069208,52,5,11.99535161
371,60,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,TA,7,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,172400,train,9.002208578,7.416979621,6.859614904,11,11,12.05757264
372,50,RL,Pave,OT,Reg,Low,Other,ClearCr,Artery,Type1,Type1,4,4,Other,type2,type3,TA,CBlock,OT,Fa,OT,0,TA,Y,type1,0,2,4,1,TA,7,1,Gd,type1,2,TA,TA,N,OT,old,Normal,134432,train,9.74800265,7.370230642,7.021083964,52,52,11.80881377
373,120,RL,Pave,OT,Reg,Low,Other,SawyerW,Norm,Type1,Type2,6,5,Other,type3,type3,TA,CBlock,Gd,TA,No,623,TA,Y,type1,1,1,2,1,TA,4,0,OT,Attchd,1,TA,TA,Y,MnPrv,old,Normal,125000,train,8.878358041,6.622736324,6.622736324,27,27,11.73606902
374,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Other,type2,type2,TA,PConc,TA,TA,No,428,TA,Y,type1,1,1,3,1,TA,5,0,OT,Attchd,1,TA,TA,Y,GdWo,old,Normal,123000,train,9.271811694,7.184629153,7.184629153,58,58,11.71993963
375,60,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,4,1,Gd,8,1,Gd,BuiltIn,2,TA,TA,Y,OT,old,Normal,219500,train,9.011889433,7.564238475,6.741700695,8,7,12.29910751
376,30,RL,Pave,OT,IR,Low,Other,Edwards,Norm,Type1,Type2,1,1,Other,type2,type2,Fa,type1,Fa,Fa,Gd,350,Gd,N,type2,1,0,1,1,Fa,4,0,OT,OT,0,OT,OT,Y,OT,old,Normal,61000,train,9.212338375,6.80682936,6.80682936,89,61,11.01862914
377,85,RL,Pave,OT,IR,Low,CulD,CollgCr,Norm,Type1,Type1,5,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,298,Ex,Y,type1,0,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,OT,old,Normal,148000,train,9.087720658,6.817830572,6.817830572,15,15,11.90496755
378,60,FV,Pave,OT,IR,Low,Other,Somerst,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,3,4,1,Gd,8,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,340000,train,9.318566777,7.810352684,7.365180126,7,6,12.7367009
379,20,RL,Pave,OT,Reg,Low,Other,StoneBr,Norm,Type1,Type2,9,2,Hip,type3,type3,Gd,PConc,Ex,TA,Mn,1445,Ex,Y,type1,1,1,1,1,Ex,8,1,Ex,Attchd,3,TA,TA,Y,OT,New,Partial,394432,train,9.34084218,7.526178913,7.526178913,1,1,12.88520203
380,60,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,TA,7,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,179000,train,9.002454823,7.495541944,6.914730893,11,11,12.09514109
381,50,RL,Pave,Pa,Reg,Low,Other,SWISU,Norm,Type1,Type1,5,6,Other,type3,type2,TA,type1,TA,TA,No,218,TA,Y,type1,0,2,3,1,Gd,6,1,Gd,type1,1,TA,TA,Y,OT,old,Normal,127000,train,8.517193191,7.433075349,6.933423026,87,61,11.75194237
382,20,FV,Pave,Pa,Reg,Low,Other,Somerst,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,Gd,No,0,Ex,Y,type1,1,2,2,1,Gd,5,1,Gd,Attchd,2,TA,TA,Y,OT,New,Partial,187750,train,8.881836305,7.170888479,7.170888479,5,5,12.14286657
383,60,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,0,Ex,Y,type1,0,2,3,1,Gd,8,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,213500,train,9.131838144,7.493873887,6.844815479,5,5,12.27139211
384,45,RM,Pave,OT,Reg,Low,Other,SawyerW,Norm,Type1,Type1,6,3,Other,type2,type2,TA,type1,Fa,Fa,No,0,TA,N,type2,0,1,2,1,TA,5,0,OT,type1,2,Fa,Fa,N,OT,old,Normal,76000,train,9.104979856,6.66440902,6.66440902,83,61,11.23848862
385,60,RL,Pave,OT,IR,Low,Other,ClearCr,Artery,Type1,Type2,6,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,985,Ex,Y,type1,1,2,3,1,Gd,9,2,Fa,Attchd,2,TA,TA,Y,OT,old,Normal,240000,train,10.88006403,7.577121931,6.983789965,19,19,12.3883942
386,120,RL,Pave,OT,Reg,Low,Other,Blmngtn,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,24,Ex,Y,type1,0,2,2,1,Gd,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,192000,train,8.065265209,7.145984468,7.145984468,7,6,12.16525065
387,50,RL,Pave,OT,Reg,Low,Other,Edwards,Artery,Type1,Type1,5,3,Other,type2,type3,TA,PConc,TA,TA,No,0,TA,Y,type1,0,1,5,1,TA,8,0,OT,OT,0,OT,OT,N,OT,old,Family,81000,train,9.037176753,7.076653815,6.489204931,101,15,11.30220443
388,80,RL,Pave,OT,Reg,Low,Other,Edwards,Norm,Type1,Type2,6,6,Hip,type2,type2,TA,CBlock,TA,TA,Mn,631,Ex,Y,type1,1,1,3,1,TA,6,1,Fa,type1,1,TA,TA,Y,GdWo,old,Family,125000,train,8.881836305,7.025538315,7.025538315,35,35,11.73606902
389,20,RL,Pave,OT,IR,Low,CulD,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,Gd,6,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,191000,train,9.146548239,7.299121463,7.299121463,12,11,12.16002871
390,60,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,10,5,Other,type3,type3,Ex,PConc,Ex,TA,Mn,1280,Ex,Y,type1,1,2,3,1,Ex,9,1,Ex,BuiltIn,3,TA,TA,Y,OT,New,Partial,426000,train,9.431401757,7.754481548,7.462789157,4,3,12.96219463
391,50,RL,Pave,Gr,Reg,Low,Other,Edwards,Norm,Type1,Type1,5,8,Other,type2,type2,TA,type1,TA,Gd,No,241,Ex,Y,type1,1,1,4,1,TA,7,0,OT,type1,1,TA,TA,Y,MnPrv,old,Normal,119000,train,9.036582046,7.220373837,6.867974409,111,61,11.68687877
392,60,RL,Pave,OT,IR,Low,CulD,Mitchel,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Ex,TA,No,690,Ex,Y,type1,1,2,3,1,Gd,7,1,TA,BuiltIn,2,TA,TA,Y,OT,old,Normal,215000,train,9.409928664,7.581209826,6.689599269,10,9,12.27839331
393,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,5,7,Other,type2,type2,TA,Slab,OT,Fa,OT,0,TA,Y,type1,0,1,3,1,TA,5,0,OT,Attchd,1,TA,TA,Y,MnPrv,old,Normal,106500,train,9.028698584,6.782192056,6.782192056,52,52,11.57590026
394,30,RL,Pave,OT,Reg,Low,Other,BrkSide,Artery,Type1,Type2,4,5,Other,type2,type2,TA,CBlock,TA,TA,No,266,TA,Y,type2,0,1,2,1,TA,4,2,TA,OT,0,OT,OT,Y,GdWo,old,Family,100000,train,8.915432254,6.66949809,6.66949809,70,61,11.51292547
395,50,RL,Pave,OT,Reg,Low,Other,OldTown,Norm,Type1,Type1,5,6,Other,type2,type2,TA,CBlock,TA,TA,No,0,Gd,Y,type2,0,1,2,1,TA,5,0,OT,type1,1,TA,TA,Y,OT,old,Normal,109000,train,9.223651386,6.941190055,6.599870499,71,61,11.59910316
396,20,RL,Pave,OT,Reg,Low,Other,Edwards,Norm,Type1,Type2,5,6,Other,type2,type2,TA,CBlock,TA,TA,Mn,739,TA,Y,type1,1,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,129000,train,9.166492972,7.042286172,7.042286172,55,55,11.76756768
397,20,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,5,5,Hip,type2,type2,TA,CBlock,TA,TA,Mn,777,TA,Y,type1,0,1,2,1,TA,6,0,OT,type1,2,TA,TA,Y,OT,old,Normal,123000,train,8.881836305,6.795705775,6.795705775,39,39,11.71993963
398,60,RL,Pave,OT,Reg,Low,Other,NAmes,Pos,Type1,Type2,5,5,Other,type3,type3,TA,CBlock,TA,TA,No,540,TA,Y,type1,0,2,4,1,TA,8,1,TA,Attchd,1,TA,TA,Y,OT,old,Normal,169500,train,8.93458687,7.502186487,6.775366091,49,49,12.04060821
399,30,RM,Pave,OT,Reg,Low,Other,IDOTRR,Norm,Type1,Type2,5,2,Other,type2,type2,TA,type1,Fa,Fa,No,0,Gd,Y,type2,0,1,2,1,TA,6,0,OT,type1,1,Po,Po,N,OT,old,Family,67000,train,9.101306451,6.981934677,6.981934677,91,61,11.1124479
400,60,FV,Pave,OT,Reg,Low,Other,Somerst,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,No,812,Ex,Y,type1,1,2,2,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,241000,train,9.002701007,7.34601021,7.013915475,5,4,12.39255221
401,120,RL,Pave,OT,IR,Low,Other,Veenker,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,786,Ex,Y,type1,1,1,1,1,Ex,4,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,245500,train,9.613335766,7.160845907,7.160845907,15,15,12.41105223
